
OPTIMIZING FINAL MODEL ON WHOLE DATASET

COMPUTING LOCAL ACTIVE FEATURES
Computing active features for target column 0_PanKidney
Features before filter: 20227
Features after any na, zero variance, and anova filters: 18853
Features active in view: 18853

CREATING INNER FOLDS

RUNNING GENETIC ALGORITHM
Generations completed = 360
Generations completed = 651
Generations completed = 957
   	     	         	        	         PanKidney naive Bayes balanced accuracy         	                     leanness                    
   	     	         	        	---------------------------------------------------------	-------------------------------------------------
gen	evals	gen_feats	explored	min     	avg     	max     	std         	min      	avg      	max	std      
170	377  	798      	18575   	0.25    	0.94826 	0.962154	0.0498561   	0.0136986	0.0381051	1  	0.0753878
171	359  	754      	18584   	0.25    	0.948298	0.962154	0.049858    	0.0135135	0.0381006	1  	0.0753893
172	360  	791      	18591   	0.25    	0.946455	0.962154	0.0519024   	0.0135135	0.0414755	1  	0.0779036
173	370  	810      	18598   	0.25    	0.948391	0.962154	0.0498804   	0.0135135	0.0382249	1  	0.0753952
174	369  	806      	18609   	0.25    	0.948532	0.962154	0.0499072   	0.0133333	0.037536 	1  	0.0754702
175	360  	778      	18615   	0.25    	0.945274	0.96267 	0.0592263   	0.0133333	0.0422624	1  	0.0806317
176	362  	791      	18618   	0.25    	0.943043	0.96267 	0.0616477   	0.012987 	0.0461986	1  	0.0828527
177	367  	808      	18625   	0.25    	0.945974	0.96267 	0.0574977   	0.0128205	0.0420502	1  	0.0806124
178	366  	807      	18634   	0.25    	0.945862	0.96267 	0.0575476   	0.0128205	0.0425598	1  	0.0806988
179	366  	850      	18636   	0.25    	0.94603 	0.96267 	0.0575515   	0.0128205	0.0425693	1  	0.080711 
180	344  	782      	18636   	0.25    	0.946912	0.96267 	0.0573675   	0.0128205	0.0405428	1  	0.0804672
181	379  	801      	18637   	0.25    	0.946265	0.96267 	0.057489    	0.0128205	0.0421058	1  	0.0807016
182	361  	796      	18646   	0.25    	0.946336	0.96267 	0.0574698   	0.0128205	0.0421964	1  	0.0806832
183	366  	811      	18652   	0.25    	0.946266	0.96267 	0.0574793   	0.0128205	0.0425637	1  	0.0806884
184	362  	787      	18656   	0.25    	0.946224	0.96267 	0.0571369   	0.0128205	0.0430411	1  	0.0806851
185	364  	795      	18660   	0.25    	0.946387	0.96267 	0.0571473   	0.0128205	0.0426509	1  	0.0806674
186	369  	797      	18664   	0.25    	0.946997	0.96267 	0.054891    	0.0128205	0.0415202	1  	0.0807158
187	371  	797      	18669   	0.25    	0.949462	0.963185	0.0500999   	0.0128205	0.0377532	1  	0.0754952
188	345  	755      	18675   	0.25    	0.949522	0.963185	0.0501107   	0.0126582	0.0377374	1  	0.0755002
189	372  	803      	18679   	0.25    	0.949617	0.963185	0.0501299   	0.0126582	0.0375594	1  	0.0755165
190	353  	796      	18681   	0.25    	0.949783	0.963185	0.0501545   	0.0126582	0.0367341	1  	0.0756046
191	378  	821      	18686   	0.25    	0.949874	0.963185	0.0501711   	0.0126582	0.0366183	1  	0.0756126
192	353  	788      	18692   	0.25    	0.947166	0.963185	0.060806    	0.0125   	0.0395073	1  	0.080547 
193	361  	810      	18693   	0.25    	0.949982	0.963185	0.0501942   	0.0125   	0.0368211	1  	0.0756089
194	367  	786      	18695   	0.25    	0.947967	0.964231	0.0529007   	0.0125   	0.0404237	1  	0.07815  
195	346  	791      	18699   	0.25    	0.947123	0.964231	0.0561225   	0.0125   	0.0415368	1  	0.0807955
196	361  	801      	18703   	0.25    	0.947121	0.964231	0.0560971   	0.0125   	0.0419729	1  	0.0807487
197	359  	812      	18704   	0.25    	0.9442  	0.964231	0.0629373   	0.0125   	0.0461413	1  	0.0843655
198	364  	820      	18707   	0.25    	0.943834	0.964231	0.0627524   	0.0125   	0.0471797	1  	0.0853427
199	369  	834      	18710   	0.25    	0.943936	0.964747	0.0627698   	0.0125   	0.0472625	1  	0.0853546
200	381  	880      	18718   	0.25    	0.944035	0.964747	0.0627261   	0.0125   	0.0472867	1  	0.0852893
201	353  	819      	18722   	0.25    	0.944004	0.964747	0.062594    	0.0125   	0.0475918	1  	0.0852319
202	368  	794      	18724   	0.25    	0.943876	0.964747	0.0620291   	0.0125   	0.0481798	1  	0.0852481
203	362  	836      	18726   	0.25    	0.94399 	0.964747	0.0619683   	0.0125   	0.0480592	1  	0.0851185
204	378  	811      	18728   	0.25    	0.943991	0.964747	0.0619738   	0.0125   	0.0483065	1  	0.0850842
205	373  	836      	18735   	0.25    	0.944041	0.964747	0.0618568   	0.0125   	0.0484541	1  	0.0850892
206	359  	782      	18737   	0.25    	0.944182	0.964747	0.0618092   	0.0125   	0.0484636	1  	0.0850691
207	350  	766      	18738   	0.25    	0.944272	0.965262	0.0617973   	0.0123457	0.0482158	1  	0.0850885
208	375  	833      	18740   	0.25    	0.944392	0.965778	0.0618257   	0.0123457	0.0482012	1  	0.0850871
209	376  	867      	18745   	0.25    	0.944428	0.965778	0.0618324   	0.0123457	0.0484511	1  	0.085022 
210	363  	792      	18745   	0.25    	0.942294	0.965778	0.0636755   	0.0123457	0.052337 	1  	0.0867683
211	375  	831      	18749   	0.25    	0.93867 	0.965778	0.0724814   	0.0123457	0.0571833	1  	0.0904285
212	350  	748      	18749   	0.25    	0.937587	0.965778	0.0764761   	0.0123457	0.0579826	1  	0.0927622
213	366  	806      	18749   	0.25    	0.940956	0.965778	0.0684481   	0.0123457	0.0543783	1  	0.0889177
214	377  	824      	18753   	0.25    	0.938513	0.965778	0.0759625   	0.0121951	0.0571682	1  	0.0921078
215	376  	844      	18757   	0.25    	0.941064	0.965778	0.0683815   	0.0121951	0.0549719	1  	0.0887369
216	369  	838      	18760   	0.25    	0.941177	0.965778	0.0683892   	0.0121951	0.0546052	1  	0.0888668
217	367  	827      	18761   	0.25    	0.938411	0.965778	0.0751066   	0.0120482	0.0584415	1  	0.0917437
218	364  	815      	18765   	0.25    	0.941621	0.965778	0.0685018   	0.0121951	0.0541027	1  	0.0890962
219	358  	784      	18765   	0.25    	0.941989	0.965778	0.0685806   	0.0121951	0.0538159	1  	0.0891315
220	374  	819      	18768   	0.25    	0.938886	0.965778	0.0739007   	0.0121951	0.0582702	1  	0.0926377
221	373  	827      	18772   	0.25    	0.939018	0.965778	0.073879    	0.0126582	0.0580538	1  	0.0929083
222	369  	833      	18773   	0.25    	0.939398	0.965778	0.0738651   	0.0126582	0.0576628	1  	0.0929554
223	386  	823      	18774   	0.25    	0.939066	0.965778	0.0737732   	0.0126582	0.0586624	1  	0.0927185
224	395  	907      	18775   	0.25    	0.939026	0.965778	0.0737558   	0.0126582	0.0590317	1  	0.0925993
225	376  	841      	18775   	0.25    	0.938819	0.965778	0.0736439   	0.0126582	0.0597394	1  	0.0924371
226	368  	831      	18777   	0.25    	0.938855	0.965778	0.073646    	0.0126582	0.0597694	1  	0.0924335
