
OPTIMIZING ON FOLD NUMBER 4
Number of workers = 8

COMPUTING LOCAL ACTIVE FEATURES
Existing features: 5937
Applying union strategy for feature selection using composite feature selector with
categorical: feature selector any na and anova
survival: feature selector Cox

Computing active features for outcome type
Features selected for this outcome: 5882
Features active in total: 5882
Computing feature importance
Running optimizer

CREATING INNER FOLDS

ASSIGNING STRATA FOR MULTI-OUTCOME DATA KIDNEY_IHC_DET
Assigning strata for outcome named type of type categorical
Counts:
ChRCC: 54
PRCC T1: 107
PRCC T2: 46
ccRCC: 323
normal: 86

RUNNING GENETIC ALGORITHM
Generations completed = 61
Generations completed = 122
Generations completed = 184
Generations completed = 246
Generations completed = 307
Generations completed = 370
Generations completed = 432
Generations completed = 493
   	     	         	        	            type naive Bayes balanced accuracy           	                 root leanness                  
   	     	         	        	---------------------------------------------------------	------------------------------------------------
gen	evals	gen_feats	explored	min     	avg     	max     	std      	min     	avg     	max	std     
127	543  	808      	5858    	0.2     	0.891716	0.964753	0.101434 	0.149071	0.321235	1  	0.135314
128	535  	796      	5860    	0.2     	0.891707	0.964753	0.101264 	0.149071	0.322364	1  	0.134447
129	538  	808      	5861    	0.2     	0.88996 	0.964753	0.103527 	0.149071	0.324766	1  	0.135739
130	534  	789      	5862    	0.2     	0.889226	0.964753	0.103451 	0.149071	0.327072	1  	0.135369
131	524  	824      	5862    	0.2     	0.890029	0.964753	0.103363 	0.149071	0.326193	1  	0.135669
132	531  	829      	5864    	0.2     	0.890026	0.964753	0.10328  	0.149071	0.327423	1  	0.134951
133	537  	774      	5864    	0.2     	0.88821 	0.964753	0.105766 	0.149071	0.328828	1  	0.137202
134	524  	780      	5865    	0.2     	0.890838	0.964753	0.103273 	0.149071	0.3256  	1  	0.136034
135	532  	786      	5865    	0.2     	0.891287	0.964753	0.103352 	0.149071	0.323889	1  	0.137239
136	528  	769      	5865    	0.2     	0.893634	0.964753	0.101528 	0.147442	0.319727	1  	0.136669
137	528  	819      	5867    	0.2     	0.893847	0.964753	0.101549 	0.147442	0.319774	1  	0.136348
138	542  	780      	5867    	0.2     	0.893537	0.964753	0.101128 	0.145865	0.321425	1  	0.1356  
139	534  	839      	5867    	0.2     	0.89141 	0.964753	0.103485 	0.147442	0.325938	1  	0.136019
140	525  	798      	5867    	0.2     	0.89163 	0.964753	0.102521 	0.144338	0.327027	1  	0.135487
141	545  	822      	5867    	0.2     	0.890522	0.964753	0.102639 	0.147442	0.329759	1  	0.135074
142	535  	789      	5868    	0.2     	0.891279	0.964753	0.102731 	0.147442	0.32754 	1  	0.136338
143	521  	818      	5870    	0.2     	0.894226	0.964753	0.100688 	0.145865	0.322491	1  	0.135652
144	542  	823      	5871    	0.2     	0.894915	0.964753	0.100729 	0.145865	0.321781	1  	0.134915
145	543  	810      	5873    	0.2     	0.894112	0.964753	0.100505 	0.144338	0.324332	1  	0.134317
146	547  	823      	5873    	0.2     	0.891972	0.964753	0.1031   	0.144338	0.326188	1  	0.137122
147	533  	770      	5873    	0.2     	0.892406	0.964753	0.102683 	0.144338	0.326268	1  	0.136819
148	525  	807      	5873    	0.2     	0.895418	0.964753	0.100949 	0.145865	0.320255	1  	0.136817
149	542  	803      	5873    	0.2     	0.895295	0.964753	0.101014 	0.145865	0.319928	1  	0.137985
150	535  	820      	5873    	0.2     	0.898021	0.964753	0.0992326	0.145865	0.313951	1  	0.1377  
151	534  	852      	5873    	0.2     	0.898355	0.964753	0.0993463	0.144338	0.313062	1  	0.138034
152	534  	814      	5875    	0.2     	0.900017	0.964753	0.0978849	0.147442	0.310046	1  	0.137537
153	528  	802      	5875    	0.2     	0.90118 	0.964753	0.0975062	0.149071	0.307846	1  	0.13738 
154	549  	814      	5875    	0.2     	0.90133 	0.964753	0.0975137	0.149071	0.307455	1  	0.137429
155	546  	842      	5875    	0.2     	0.901516	0.964753	0.0975284	0.149071	0.30544 	1  	0.138808
156	540  	828      	5875    	0.2     	0.89901 	0.964753	0.100147 	0.149071	0.312644	1  	0.137497
157	545  	826      	5876    	0.2     	0.900215	0.964753	0.099523 	0.149071	0.310231	1  	0.137595
158	555  	799      	5876    	0.2     	0.900767	0.964753	0.0979975	0.149071	0.30893 	1  	0.138297
159	546  	807      	5876    	0.2     	0.899007	0.964753	0.099811 	0.149071	0.313099	1  	0.137808
160	540  	769      	5876    	0.2     	0.899257	0.964753	0.0993756	0.149071	0.312199	1  	0.138456
161	539  	807      	5876    	0.2     	0.899455	0.964753	0.0994185	0.149071	0.311798	1  	0.138572
162	543  	817      	5876    	0.2     	0.899928	0.964753	0.0975293	0.149071	0.312139	1  	0.137354
