
OPTIMIZING ON FOLD NUMBER 0
Number of workers = 8

COMPUTING LOCAL ACTIVE FEATURES
Existing features: 5937
Applying union strategy for feature selection using composite feature selector with
categorical: feature selector any na and anova
survival: feature selector Cox

Computing active features for outcome type
Features selected for this outcome: 5896
Features active in total: 5896
Computing feature importance
Running optimizer

CREATING INNER FOLDS

ASSIGNING STRATA FOR MULTI-OUTCOME DATA KIDNEY_IHC_DET
Assigning strata for outcome named type of type categorical
Counts:
ChRCC: 54
PRCC T1: 107
PRCC T2: 46
ccRCC: 323
normal: 86

RUNNING GENETIC ALGORITHM
Generations completed = 16
Generations completed = 34
Generations completed = 52
Generations completed = 70
Generations completed = 89
Generations completed = 107
Generations completed = 126
Generations completed = 144
Generations completed = 162
Generations completed = 181
Generations completed = 200
Generations completed = 219
Generations completed = 238
Generations completed = 257
Generations completed = 276
Generations completed = 295
Generations completed = 314
Generations completed = 333
Generations completed = 351
Generations completed = 370
Generations completed = 389
Generations completed = 408
Generations completed = 427
Generations completed = 447
Generations completed = 467
Generations completed = 487
   	     	         	        	            type svm balanced accuracy           	                 root separation                 	                 root leanness                  
   	     	         	        	-------------------------------------------------	-------------------------------------------------	------------------------------------------------
gen	evals	gen_feats	explored	min	avg     	max     	std      	min	avg     	max     	std      	min     	avg     	max	std     
109	681  	828      	5830    	0.2	0.842817	0.968016	0.0967129	0  	0.603336	0.650571	0.0402777	0.136083	0.406438	1  	0.14516 
110	688  	809      	5831    	0.2	0.83763 	0.968016	0.0994921	0  	0.60262 	0.650571	0.0407279	0.136083	0.415933	1  	0.144709
111	702  	830      	5836    	0.2	0.838464	0.968016	0.100711 	0  	0.602499	0.650571	0.0414686	0.132453	0.409159	1  	0.153512
112	695  	815      	5837    	0.2	0.841918	0.968016	0.0948516	0  	0.605122	0.650571	0.0402219	0.133631	0.402243	1  	0.143718
113	676  	831      	5840    	0.2	0.839393	0.968016	0.0999531	0  	0.603255	0.650571	0.0406412	0.133631	0.406801	1  	0.148339
114	678  	803      	5842    	0.2	0.846754	0.968016	0.0981545	0  	0.605256	0.650571	0.0408354	0.132453	0.395864	1  	0.148236
115	682  	850      	5848    	0.2	0.839813	0.968016	0.0996049	0  	0.603874	0.650571	0.0402209	0.133631	0.407587	1  	0.146592
116	673  	821      	5849    	0.2	0.840089	0.968016	0.103398 	0  	0.603299	0.650571	0.0413536	0.133631	0.4041  	1  	0.154838
117	668  	846      	5851    	0.2	0.836516	0.968016	0.10765  	0  	0.602365	0.650571	0.041785 	0.133631	0.412956	1  	0.154316
118	666  	839      	5853    	0.2	0.836171	0.968016	0.103486 	0  	0.604035	0.650571	0.0412496	0.132453	0.417982	1  	0.146823
119	683  	820      	5855    	0.2	0.838852	0.968016	0.100096 	0  	0.605992	0.650571	0.0408029	0.13484 	0.412938	1  	0.149348
120	686  	854      	5857    	0.2	0.839206	0.968016	0.108859 	0  	0.604764	0.650571	0.042208 	0.13484 	0.411591	1  	0.152344
121	683  	808      	5860    	0.2	0.840199	0.968016	0.105902 	0  	0.606536	0.650571	0.0420005	0.133631	0.40793 	1  	0.152193
122	684  	831      	5860    	0.2	0.846793	0.968472	0.0968141	0  	0.607964	0.650571	0.0407977	0.13484 	0.396714	1  	0.15226 
123	680  	870      	5863    	0.2	0.85007 	0.968472	0.099705 	0  	0.606657	0.650571	0.0405761	0.13484 	0.397364	1  	0.154408
124	700  	860      	5865    	0.2	0.846382	0.968472	0.103267 	0  	0.606433	0.650571	0.0408811	0.132453	0.403005	1  	0.155023
125	704  	855      	5866    	0.2	0.838025	0.968472	0.111017 	0  	0.604579	0.650571	0.0419257	0.129099	0.412256	1  	0.157802
126	687  	825      	5867    	0.2	0.846019	0.968472	0.0981009	0  	0.606797	0.650571	0.0401526	0.130189	0.403469	1  	0.155491
127	693  	833      	5869    	0.2	0.841212	0.968472	0.109189 	0  	0.603866	0.650571	0.041406 	0.131306	0.408825	1  	0.158385
128	710  	791      	5869    	0.2	0.842825	0.968472	0.0994132	0  	0.605475	0.651877	0.040258 	0.131306	0.410806	1  	0.149749
