gen,evals,gen_feats,explored,Pam50 naive Bayes adjusted balanced accuracy_min,Pam50 naive Bayes adjusted balanced accuracy_avg,Pam50 naive Bayes adjusted balanced accuracy_max,Pam50 naive Bayes adjusted balanced accuracy_std,adjusted root leanness_min,adjusted root leanness_avg,adjusted root leanness_max,adjusted root leanness_std
381,500,1370,17716,0.2,0.8287266165038345,0.8824708963822185,0.10062781007651013,0.13483997249264842,0.2357515896738128,1.0,0.12050603818690157
382,500,1412,17718,0.2,0.8295094311462516,0.8824708963822185,0.10017709342209136,0.13483997249264842,0.23515561431657603,1.0,0.12077992413608804
383,500,1416,17718,0.2,0.8298292074173594,0.8824708963822185,0.09886828680692626,0.13483997249264842,0.2346466623712032,1.0,0.11971022774115486
384,500,1384,17719,0.2,0.8265310973575747,0.882517880336388,0.10218865217047533,0.13483997249264842,0.23973717219213428,1.0,0.12177379848985795
385,500,1408,17720,0.2,0.8264204955007962,0.882517880336388,0.10199695823540258,0.13483997249264842,0.24028287801146675,1.0,0.12149805081359707
386,500,1451,17721,0.2,0.8262518030582716,0.882517880336388,0.10189149261768547,0.13483997249264842,0.2407171518276507,1.0,0.12153167915205891
387,500,1381,17721,0.2,0.8265126419495255,0.882517880336388,0.10194665787386227,0.13483997249264842,0.240188029515221,1.0,0.12173853104748326
388,500,1354,17721,0.2,0.8263828826540357,0.882517880336388,0.10188099338033546,0.13483997249264842,0.24064647207940748,1.0,0.12152179496673407
389,500,1366,17722,0.2,0.8269096137867805,0.882517880336388,0.10188309950709237,0.13483997249264842,0.23964760612415448,1.0,0.12155502495707732
390,500,1350,17722,0.2,0.8268366941868144,0.882517880336388,0.10199839187580884,0.13483997249264842,0.23954752102058,1.0,0.12192724589449748
391,500,1353,17723,0.2,0.8266034483834792,0.8826830575008561,0.10186045045899376,0.13483997249264842,0.24024020436855767,1.0,0.12169598545339776
392,500,1384,17723,0.2,0.8263484511240676,0.8834107374792453,0.10175089329085234,0.13483997249264842,0.2409071029481055,1.0,0.12136925576740881
393,500,1408,17723,0.2,0.8264123853796167,0.8834107374792453,0.10153779153269255,0.13483997249264842,0.24100849820912437,1.0,0.12132713389813224
394,500,1364,17724,0.2,0.8263376175622098,0.8834107374792453,0.1015085725959802,0.13483997249264842,0.24142547445822715,1.0,0.12110541587273208
395,500,1397,17726,0.2,0.826283432485678,0.8834107374792453,0.10141197188767474,0.13483997249264842,0.24183706415045794,1.0,0.12083419169382119
396,500,1367,17727,0.2,0.82634364870737,0.8834107374792453,0.10139287350136743,0.13483997249264842,0.24180964544221983,1.0,0.12082605228621554
397,500,1378,17729,0.2,0.82636060731408,0.8853146364482246,0.1013999915890415,0.13483997249264842,0.24194787687196095,1.0,0.12072823603199342
398,500,1386,17730,0.2,0.8263505051840953,0.8853146364482246,0.10136683907279409,0.13483997249264842,0.2421437844286569,1.0,0.12066922912175566
399,500,1366,17730,0.2,0.8259805983214705,0.8853146364482246,0.10143371848898852,0.13483997249264842,0.24278708996351614,1.0,0.12074901700894297
400,500,1352,17731,0.2,0.8215717754426213,0.8853146364482246,0.1061951277675972,0.13483997249264842,0.2485112521320698,1.0,0.12373224629014892
401,500,1381,17732,0.2,0.8235783378390179,0.8853146364482246,0.10354250271246636,0.13483997249264842,0.24609733562352917,1.0,0.12197958576107977
402,500,1415,17733,0.2,0.8231175311714234,0.8853146364482246,0.10602785900574034,0.13483997249264842,0.24617615596925885,1.0,0.12366946266945954
403,500,1346,17734,0.2,0.8219563653792893,0.8853146364482246,0.10613024510272223,0.13483997249264842,0.2482055640349612,1.0,0.12359111643369718
404,500,1369,17737,0.2,0.823274358647708,0.8853146364482246,0.10363732315790919,0.13483997249264842,0.24685055807851042,1.0,0.1221568516280954
405,500,1362,17737,0.2,0.8236858151349385,0.8853146364482246,0.1046803725921595,0.13483997249264842,0.24621371770699374,1.0,0.1224708741921627
406,500,1353,17737,0.2,0.8226246856509128,0.8853146364482246,0.10615968797687336,0.13483997249264842,0.24731399226582698,1.0,0.12351429013691832
407,500,1387,17737,0.2,0.8238716489781884,0.8853146364482246,0.1053483774149556,0.13483997249264842,0.24568000271069312,1.0,0.12316507210611125
408,500,1394,17738,0.2,0.8241796452975798,0.8853146364482246,0.1036727624033493,0.13483997249264842,0.24545711786131374,1.0,0.12177404838414359
409,500,1376,17739,0.19776785714285713,0.8216620930217488,0.8853146364482246,0.10736898725264661,0.13483997249264842,0.24859200367058765,1.0,0.12346809808779717
410,500,1385,17740,0.2,0.8222561999122056,0.8853146364482246,0.10600041750719184,0.13483997249264842,0.24818293570666186,1.0,0.12358262947712426
411,500,1359,17740,0.2,0.8244056800530859,0.8853146364482246,0.10292621721804729,0.13483997249264842,0.24573217876262968,1.0,0.12153876320317848
412,500,1390,17740,0.2,0.8248940470392093,0.8853146364482246,0.10390699546693911,0.13483997249264842,0.24475025798591862,1.0,0.12237257794164558
413,500,1350,17740,0.2,0.8226568315095715,0.8853146364482246,0.10619925714658192,0.13483997249264842,0.24739556462842313,1.0,0.12369673312739453
414,500,1321,17741,0.2,0.8221114156939027,0.8853381326888261,0.10591253016379784,0.13483997249264842,0.24857050912089582,1.0,0.12347599521672242
415,500,1393,17741,0.2,0.8221120324627573,0.8853381326888261,0.1058139178381866,0.13483997249264842,0.24871351841759634,1.0,0.12354457068848562
416,500,1398,17741,0.2,0.8226143917905815,0.8855011994125215,0.10588437281939188,0.13483997249264842,0.24778068654790789,1.0,0.12376034699817703
417,500,1358,17741,0.2,0.8224093058329683,0.8855011994125215,0.1056694868535685,0.13483997249264842,0.24830111104925567,1.0,0.12373038226072225
418,500,1355,17743,0.2,0.8223367010766574,0.8855011994125215,0.10551715756342142,0.13483997249264842,0.24860405815505685,1.0,0.12359251932457377
419,500,1360,17744,0.2,0.8222735564414575,0.8855011994125215,0.1054073610179388,0.13483997249264842,0.24881183960505632,1.0,0.1235890637913607
420,500,1377,17744,0.2,0.8222609225840868,0.8855011994125215,0.10541179747665279,0.13483997249264842,0.24886425527105926,1.0,0.12358054426756512
421,500,1365,17745,0.2,0.8222174462165894,0.8855011994125215,0.1053903121192322,0.13483997249264842,0.24904473931854643,1.0,0.12350026251500813
422,500,1386,17746,0.2,0.8225276839519866,0.8855011994125215,0.10534993178074493,0.13483997249264842,0.24864504075023744,1.0,0.12356772576409149
423,500,1310,17746,0.2,0.8226510053287137,0.8855011994125215,0.1053950238309411,0.13483997249264842,0.24846166539809098,1.0,0.12365451845403777
424,500,1381,17747,0.2,0.8252675515254523,0.8855011994125215,0.10217565769930592,0.13483997249264842,0.24515716268127072,1.0,0.12141654853826801
425,500,1391,17748,0.2,0.8265182240952136,0.8855011994125215,0.10184765138205697,0.13483997249264842,0.24327104953886203,1.0,0.12083582899892394
426,500,1379,17749,0.2,0.8270712057685723,0.8855011994125215,0.101439259655307,0.13245323570650439,0.24260136030540047,1.0,0.12035414692090349
427,500,1341,17750,0.2,0.8271315925650409,0.8855011994125215,0.10146710717819954,0.13245323570650439,0.24246306585123847,1.0,0.12043935312099131
428,500,1366,17751,0.2,0.8268940677599006,0.8857845612602546,0.10166744561887624,0.13245323570650439,0.24269429497827513,1.0,0.12073564444693323
